3.98,9,0,1,0,1,0
3.98,9,0,1,0,1,0
3.98,9,0,1,0,1,0
3.98,9,0,1,0,1,1
3.98,9,0,1,0,1,0
3.37,7,312,1,1,0,3
3.37,7,312,1,1,0,3
3.37,7,312,1,1,0,3
3.37,7,312,1,1,0,5
3.37,7,312,1,1,0,3
3.37,7,312,1,1,0,3
3.37,7,312,1,1,0,4
3.65,6.5,308,1,0,3,3
3.94,9,325,11,0,0.7,0
3.94,9,325,11,0,0.7,0
3.44,6.5,301,2,0,0,4
3.44,6.5,301,2,0,0,5
3.44,6.5,301,2,0,0,5
3.43,7,300,0,0,0.8,4
3.01,7,305,1,0,12,4
3.53,7,317,0,0,0,0
3.53,7,317,0,0,0,2
3.53,7,317,0,0,0,3
3.02,6.5,309,6,0,4,4
3.02,7.5,321,0,1,0.5,4
3.02,7.5,321,0,1,0.5,4
3.24,7.5,319,0,0,5.6,2
3.24,7.5,319,0,0,5.6,2
3.24,7.5,319,0,0,5.6,3
3.24,7.5,319,0,0,5.6,5
3.24,7.5,319,0,0,5.6,5
3.22,6.5,311,2,2,2.5,2
3.22,6.5,311,2,2,2.5,2
3.22,6.5,311,2,2,2.5,4
3.84,6.5,308,0,0,0,0
3.75,7.5,318,3,0,0,2
3.75,7.5,318,3,0,0,3
3.75,7.5,318,3,0,0,3
3.75,7.5,318,3,0,0,3
3.94,6.5,305,1,1,0,3
3.31,7,306,0,0,0,5
3.31,7,306,0,0,0,4
3.31,7,306,0,0,0,5
3.31,7,306,0,0,0,5
3.31,7,306,0,0,0,3
3.15,7.5,316,1,0,7,3
3.15,7.5,316,1,0,7,3
3.15,7.5,316,1,0,7,3
3.15,7.5,316,1,0,7,5
3.15,7.5,316,1,0,7,5
3.15,7.5,316,1,0,7,5
3.2,6.5,313,0,3,0.7,4
3.33,7,0,1,0,0.4,0
3.15,7.5,0,2,0,2,1
3.15,7.5,0,2,0,2,1
3.08,7,301,3,3,4.8,3
3.08,7,301,3,3,4.8,5
3.48,7,301,1,0,3.5,3
3.48,7,301,1,0,3.5,3
3.7,7,307,0,0,2,3
3.4,6.5,310,2,2,0,4
3.15,6.5,309,0,0,1.5,5
3.15,6.5,309,0,0,1.5,1
3.15,6.5,309,0,0,1.5,5
3.15,6.5,309,0,0,1.5,5
3.15,6.5,309,0,0,1.5,1
3.15,6.5,309,0,0,1.5,5
3.67,7.5,0,7,0,4,1
3.25,6.5,302,2,0,4,1
3.25,6.5,302,2,0,4,3
3.25,6.5,302,2,0,4,1
3.25,6.5,302,2,0,4,3
3.5,6.5,308,2,0,3.6,4
3.69,8,0,13,0,6.5,0
3.54,6.5,305,0,0,2,3
3.54,6.5,305,0,0,2,0
3.54,6.5,305,0,0,2,4
3.54,6.5,305,0,0,2,5
3.54,6.5,305,0,0,2,4
3.54,6.5,305,0,0,2,3
3.54,6.5,305,0,0,2,3
3.46,6.5,301,1,2,3,3
3.46,6.5,301,1,2,3,3
3.46,6.5,301,1,2,3,3
3.52,7,295,0,0,2.5,3
3.52,7,295,0,0,2.5,5
3.52,7,295,0,0,2.5,0
3.52,7,295,0,0,2.5,3
3.33,7.5,330,0,0,0.7,3
3.63,7.5,319,1,0,3,5
3.89,7.5,313,0,0,45,2
3.89,7.5,313,0,0,45,2
3.55,8,321,1,1,1.1,1
3.55,8,321,1,1,1.1,0
3.43,7,306,1,0,2,4
4,7,310,0,0,0,3
4,7,310,0,0,0,3
3.73,7,0,2,2,0.6,3
3.73,7,0,2,2,0.6,0
3.99,7.5,337,1,0,0.6,0
3.99,7.5,337,1,0,0.6,3
3.99,7.5,337,1,0,0.6,1
3.99,7.5,337,1,0,0.6,0
3.43,7.5,309,1,0,0,0
3.63,6.5,301,0,0,2,3
3.63,6.5,301,0,0,2,3
3.63,6.5,301,0,0,2,3
3.6,7,308,0,0,0,5
3.9,7,310,0,0,0,4
3.9,7,310,0,0,0,3
3.9,7,310,0,0,0,3
3.27,6.5,0,2,4,1.5,5
3.27,6.5,0,2,4,1.5,2
3.27,6.5,0,2,4,1.5,3
3.27,6.5,0,2,4,1.5,4
3.27,6.5,0,2,4,1.5,4
3.52,7.5,0,0,0,0,4
3.67,7,301,2,1,2,5
3.36,7,0,0,0,2,1
3.62,7.5,320,1,0,0,4
3.2,6.5,303,0,0,1.5,4
3.2,6.5,303,0,0,1.5,2
3.2,6.5,303,0,0,1.5,3
3.2,6.5,303,0,0,1.5,5
3.3,7.5,305,0,0,0.7,2
3.15,8,316,1,0,2,0
3.15,8,316,1,0,2,3
3.15,8,316,1,0,2,4
3.15,8,316,1,0,2,1
3.15,8,316,1,0,2,1
3.5,7,0,1,0,1,3
3.5,7,0,1,0,1,0
3.5,7,0,1,0,1,0
3.5,7,0,1,0,1,0
3.5,7,0,1,0,1,1
3.5,7,0,1,0,1,1
3.5,7,0,1,0,1,3
3.57,6.5,296,0,0,0,4
3.57,6.5,296,0,0,0,5
3.57,6.5,296,0,0,0,3
3.57,6.5,296,0,0,0,1
3.57,6.5,296,0,0,0,5
3.49,7.5,307,1,0,0,3
3.49,7.5,307,1,0,0,5
3.49,7.5,307,1,0,0,2
3.49,7.5,307,1,0,0,1
3.49,7.5,307,1,0,0,2
3.65,7,314,1,1,1.8,5
3.65,7,314,1,1,1.8,5
3.65,7,314,1,1,1.8,4
3.65,7,317,0,0,1,3
3.65,7,317,0,0,1,0
3.65,7,317,0,0,1,5
3.31,7,313,0,0,0.3,5
3.31,7,313,0,0,0.3,3
3.29,6.5,315,2,3,1.5,5
3.29,6.5,315,2,3,1.5,5
3.29,6.5,315,2,3,1.5,4
3.52,7,306,1,1,0,1
3.52,7,306,1,1,0,4
3.52,7,306,1,1,0,3
3.52,7,306,1,1,0,4
3.6,7,324,0,0,3,1
3.39,0,314,1,0,3,4
3.39,0,314,1,0,3,2
3.39,0,314,1,0,3,5
3.39,7,305,0,0,0,3
3.39,7,305,0,0,0,1
3.39,7,305,0,0,0,5
3.42,7,310,0,0,4,3
3.42,7,310,0,0,4,5
3.42,7,310,0,0,4,3
3.42,7,310,0,0,4,3
3.29,7.5,319,1,0,4,1
3.29,7.5,319,1,0,4,1
3.29,7.5,319,1,0,4,1
3.29,7.5,319,1,0,4,2
3.29,7.5,319,1,0,4,2
3.06,7,331,0,0,0.3,3
3.06,7,331,0,0,0.3,5
3.06,7,331,0,0,0.3,3
3.06,7,331,0,0,0.3,1
3.06,7,331,0,0,0.3,3
3.06,7,331,0,0,0.3,3
3.62,7,313,6,0,2.5,3
3.85,6.5,310,0,1,1.5,0
3.45,7.5,308,2,0,5,5
3.45,7.5,308,2,0,5,2
3.45,7.5,308,2,0,5,0
3.45,7.5,308,2,0,5,3
3.11,6.5,318,0,0,0,0
3.11,6.5,318,0,0,0,3
3.11,6.5,318,0,0,0,5
3.11,6.5,318,0,0,0,5
3.15,8,316,2,3,0,3
3.15,8,316,2,3,0,3
3.15,8,316,2,3,0,3
3.15,8,316,2,3,0,3
3.15,8,316,2,3,0,3
3.61,7.5,304,7,3,2,4
3.61,7.5,304,7,3,2,3
3.61,7.5,304,7,3,2,5
3.61,7.5,304,7,3,2,1
3.61,7.5,304,7,3,2,3
3.61,7.5,304,7,3,2,3
3.61,7.5,304,7,3,2,3
3.61,7.5,304,7,3,2,4
3.61,7.5,304,7,3,2,5
3.83,8,327,1,0,1.6,0
3.41,7.5,315,1,0,0.9,0
2.98,7,305,6,3,3.5,4
3.84,7.5,320,3,0,0.1,1
3.84,7.5,320,3,0,0.1,4
3.65,7,314,1,0,1,1
3.65,7,314,1,0,1,2
3.65,7,314,1,0,1,1
3.65,7,314,1,0,1,4
3.65,7,314,1,0,1,3
3.74,7.5,215,3,4,2,1
3.74,7.5,215,3,4,2,1
3.64,8,310,1,0,0.3,3
3.64,8,310,1,0,0.3,0
3.64,8,310,1,0,0.3,0
3.81,8,318,1,2,0,1
3.71,6.5,315,0,0,0.6,2
3.46,6.5,312,2,1,0,3
2.93,0,308,10,0,0,2
3.81,7.5,322,2,1,0.95,0
3.81,7.5,322,2,1,0.95,1
3.81,7.5,322,2,1,0.95,0
3.08,7.5,319,0,0,0.3,3
3.95,7,312,0,1,0,4
3.95,7,312,0,1,0,5
3.58,8.5,325,0,0,0,1
3.58,8.5,325,0,0,0,1
3.58,8.5,325,0,0,0,2
3.82,7,315,0,0,0.6,2
3.82,7,315,0,0,0.6,4
3.29,6.5,315,2,3,1.5,4
3.29,6.5,315,2,3,1.5,5
3.59,7.5,317,4,0,2,2
3.59,7.5,317,4,0,2,3
3.59,7.5,317,4,0,2,2
3.85,6.5,315,1,0,5,3
3.13,7,308,1,0,2,2
3.13,7,308,1,0,2,0
3.13,7,308,1,0,2,4
3.6,6.5,314,5,1,0,2
3.6,6.5,314,5,1,0,2
3.93,7.5,320,0,0,0.8,0
3.5,8,314,0,0,0.95,0
3.81,6.5,317,2,0,3,3
3.4,7.5,330,2,0,2,3
3.87,7.5,298,0,0,4,0
3.59,7.5,0,0,1,2,2
3.59,7.5,0,0,1,2,3
3.57,6.5,306,4,1,25,5
3.57,6.5,306,4,1,25,4
3.14,7.5,307,8,0,0.7,1
3.14,7.5,307,8,0,0.7,1
3.14,7.5,307,8,0,0.7,4
3.14,7.5,307,8,0,0.7,3
3.14,7.5,307,8,0,0.7,3
3.9,7,315,1,0,7,2
